utt;clase;tamper;n_ventanas;algun_tramo_gt;solape_con_sintetico@0.30
LA_D_4623306;0;0.504;4;;
LA_D_4248918;0;0.3339;5;;
LA_D_7647812;0;0.5304;8;;
LA_D_8621322;0;0.4081;7;;
LA_D_9125966;0;0.3118;5;;
LA_D_4670510;0;0.4084;10;;
LA_D_3851855;0;0.3375;7;;
LA_D_8215973;0;0.6358;6;;
LA_D_3631905;0;0.4649;7;;
LA_D_5256804;0;0.6003;5;;
LA_D_4168527;0;0.2866;5;;
LA_D_5508177;0;0.4731;7;;
LA_D_9561057;0;0.5155;7;;
LA_D_8089175;0;0.4288;4;;
LA_D_1438615;0;0.4374;9;;
LA_D_1511694;0;0.2615;4;;
LA_D_3051718;0;0.5325;6;;
LA_D_7573423;0;0.5242;7;;
LA_D_2415228;0;0.4191;5;;
LA_D_7629182;0;0.2751;4;;
LA_D_2285682;0;0.4025;9;;
LA_D_8433898;0;0.6541;8;;
LA_D_8192047;0;0.3164;5;;
LA_D_9076677;0;0.4678;5;;
LA_D_1703452;0;0.3241;3;;
LA_D_3074651;0;0.5349;9;;
LA_D_8697996;0;0.5;4;;
LA_D_6022629;0;0.4031;4;;
LA_D_5182745;0;0.3645;4;;
LA_D_3495464;0;0.6751;9;;
LA_D_5677972;0;0.228;2;;
LA_D_7704954;0;0.3188;5;;
LA_D_5390367;0;0.6047;9;;
LA_D_5660085;0;0.6765;8;;
LA_D_9471357;0;0.3121;8;;
LA_D_6141636;0;0.4322;7;;
LA_D_8087254;0;0.3762;9;;
LA_D_5332359;0;0.5385;7;;
LA_D_2846692;0;0.4043;9;;
LA_D_4274975;0;0.4795;4;;
LA_D_3717777;0;0.4452;5;;
LA_D_1434598;0;0.3536;11;;
LA_D_2232106;0;0.5556;10;;
LA_D_6435582;0;0.515;6;;
LA_D_6724166;0;0.5419;9;;
LA_D_4511951;0;0.3914;6;;
LA_D_3547035;0;0.3553;2;;
LA_D_3805241;0;0.3399;4;;
LA_D_8222620;0;0.4534;5;;
LA_D_8737588;0;0.3666;5;;
LA_D_8142373;0;0.3608;5;;
LA_D_7957211;0;0.3626;7;;
LA_D_6280709;0;0.3864;4;;
LA_D_5701193;0;0.4665;9;;
LA_D_3408690;0;0.3384;7;;
LA_D_1361417;0;0.6598;6;;
LA_D_8103476;0;0.3145;5;;
LA_D_3861154;0;0.4483;5;;
LA_D_1484973;0;0.6581;12;;
LA_D_8905184;0;0.6035;12;;
LA_D_6736028;0;0.3849;3;;
LA_D_7261120;0;0.473;5;;
LA_D_6353335;0;0.4743;5;;
LA_D_8565008;0;0.4295;4;;
LA_D_2014253;0;0.487;9;;
LA_D_9513156;0;0.4107;4;;
LA_D_5545304;0;0.2723;4;;
LA_D_6711434;0;0.4654;4;;
LA_D_6223286;0;0.6332;10;;
LA_D_5726006;0;0.3307;2;;
LA_D_8878312;0;0.5598;7;;
LA_D_6283341;0;0.293;3;;
LA_D_8161159;0;0.6362;9;;
LA_D_1969568;0;0.498;7;;
LA_D_6841789;0;0.3297;2;;
LA_D_8313645;0;0.4574;4;;
LA_D_6509189;0;0.4942;7;;
LA_D_1249064;0;0.4174;4;;
LA_D_1961293;0;0.4063;3;;
LA_D_4224972;0;0.4256;9;;
LA_D_9699048;0;0.5186;7;;
LA_D_8639820;0;0.3872;3;;
LA_D_1353894;0;0.3994;3;;
LA_D_1567126;0;0.3969;5;;
LA_D_7428513;0;0.4666;7;;
LA_D_1245000;0;0.5223;3;;
CON_D_0022321;1;0.2915;1;0.0;
CON_D_0023180;1;0.3852;12;0.0;
CON_D_0006024;1;0.1955;7;0.0;
CON_D_0008499;1;0.3802;2;0.0;
CON_D_0005826;1;0.2798;4;0.0;
CON_D_0000818;1;0.3923;2;0.0;
CON_D_0023382;1;0.3855;6;0.0;
CON_D_0007602;1;0.3693;2;0.0;
CON_D_0009714;1;0.3524;16;0.0;
CON_D_0009147;1;0.2882;5;0.0;
CON_D_0008369;1;0.4804;5;0.0;
CON_D_0008994;1;0.4123;5;0.0;
CON_D_0011208;1;0.3629;5;0.0;
CON_D_0007474;1;0.2603;5;0.0;
CON_D_0012885;1;0.233;7;0.0;
CON_D_0008486;1;0.324;6;0.0;
CON_D_0011626;1;0.412;6;0.0;
CON_D_0003588;1;0.3178;3;0.0;
CON_D_0005976;1;0.312;7;0.0;
CON_D_0007018;1;0.3833;3;0.0;
CON_D_0007791;1;0.3056;2;0.0;
CON_D_0002359;1;0.4718;11;0.0;
CON_D_0000611;1;0.3071;5;0.0;
CON_D_0013974;1;0.3167;7;0.0;
CON_D_0001566;1;0.3931;4;0.0;
CON_D_0012746;1;0.3348;2;0.0;
CON_D_0013364;1;0.3333;2;0.0;
CON_D_0012045;1;0.4657;4;0.0;
CON_D_0001857;1;0.6133;6;0.0;
CON_D_0011592;1;0.4436;7;0.0;
CON_D_0008403;1;0.4461;7;0.0;
CON_D_0011002;1;0.3668;6;0.0;
CON_D_0021546;1;0.4833;8;0.0;
CON_D_0011932;1;0.4068;5;0.0;
CON_D_0008325;1;0.2365;2;0.0;
CON_D_0002170;1;0.3351;9;0.0;
CON_D_0003862;1;0.6208;6;0.0;
CON_D_0006673;1;0.2806;7;0.0;
CON_D_0007038;1;0.3202;8;0.0;
CON_D_0006588;1;0.2689;4;0.0;
CON_D_0001833;1;0.2319;4;0.0;
CON_D_0009843;1;0.2655;8;0.0;
CON_D_0010628;1;0.3747;5;0.0;
CON_D_0012544;1;0.3295;3;0.0;
CON_D_0007840;1;0.331;5;0.0;
CON_D_0022170;1;0.345;4;0.0;
CON_D_0010352;1;0.2465;4;0.0;
CON_D_0022274;1;0.2586;8;0.0;
CON_D_0012210;1;0.2286;4;0.0;
CON_D_0000852;1;0.3032;6;0.0;
CON_D_0009538;1;0.4737;7;0.0;
CON_D_0004149;1;0.2832;2;0.0;
CON_D_0010869;1;0.3645;6;0.0;
CON_D_0006109;1;0.3631;4;0.0;
CON_D_0007034;1;0.4235;5;0.0;
CON_D_0014139;1;0.5849;4;0.0;
CON_D_0011283;1;0.2837;6;0.0;
CON_D_0002243;1;0.2453;4;0.0;
CON_D_0019891;1;0.4827;8;0.0;
CON_D_0014700;1;0.2953;10;0.0;
CON_D_0020750;1;0.3275;7;0.0;
CON_D_0015974;1;0.4169;4;0.0;
CON_D_0008442;1;0.3528;6;0.0;
CON_D_0020201;1;0.2423;8;0.0;
CON_D_0010261;1;0.3602;4;0.0;
CON_D_0017866;1;0.324;6;0.0;
CON_D_0010739;1;0.3785;5;0.0;
CON_D_0004272;1;0.2924;11;0.0;
CON_D_0007880;1;0.3649;5;0.0;
CON_D_0020383;1;0.2279;5;0.0;
CON_D_0021366;1;0.3011;8;0.0;
CON_D_0020605;1;0.4478;4;0.0;
CON_D_0015531;1;0.3389;6;0.0;
CON_D_0017714;1;0.2696;6;0.0;
CON_D_0011090;1;0.373;8;0.0;
CON_D_0003473;1;0.2587;2;0.0;
CON_D_0001320;1;0.3141;3;0.0;
CON_D_0019674;1;0.2679;3;0.0;
CON_D_0009943;1;0.2966;9;0.0;
CON_D_0010315;1;0.2615;8;0.0;
CON_D_0019587;1;0.5088;5;0.0;
CON_D_0009159;1;0.2963;1;0.0;
CON_D_0018507;1;0.3066;3;0.0;
CON_D_0021413;1;0.2898;5;0.0;
CON_D_0015350;1;0.2881;5;0.0;
CON_D_0013125;1;0.3652;5;0.0;
CON_D_0011832;1;0.312;6;0.0;
CON_D_0014585;1;0.362;10;0.0;
CON_D_0000741;1;0.4452;4;0.0;
CON_D_0019255;1;0.2581;6;0.0;
CON_D_0023450;1;0.4822;7;0.0;
CON_D_0023091;1;0.3642;1;0.0;
CON_D_0009690;1;0.3039;3;0.0;
CON_D_0006329;1;0.2808;3;0.0;
CON_D_0015069;1;0.2656;2;0.0;
CON_D_0012840;1;0.249;4;0.0;
CON_D_0009348;1;0.3637;16;0.0;
CON_D_0002543;1;0.2476;4;0.0;
CON_D_0010910;1;0.3762;3;0.0;
CON_D_0020335;1;0.3426;2;0.0;
CON_D_0010462;1;0.4244;6;0.0;
CON_D_0020055;1;0.3632;3;0.0;
CON_D_0018766;1;0.4179;10;0.0;
CON_D_0020032;1;0.2511;7;0.0;
CON_D_0004455;1;0.452;5;0.0;
CON_D_0004167;1;0.7176;7;0.0;
CON_D_0001425;1;0.4036;3;0.0;
CON_D_0022571;1;0.2513;6;0.0;
CON_D_0006522;1;0.3659;3;0.0;
CON_D_0022528;1;0.4601;5;0.0;
CON_D_0012042;1;0.3338;4;0.0;
CON_D_0014269;1;0.4137;8;0.0;
CON_D_0016354;1;0.2729;3;0.0;
CON_D_0011439;1;0.4411;20;0.0;
CON_D_0011202;1;0.2636;2;0.0;
CON_D_0023499;1;0.434;6;0.0;
CON_D_0014886;1;0.2726;5;0.0;
CON_D_0019856;1;0.4402;9;0.0;
CON_D_0011442;1;0.5316;9;0.0;
CON_D_0009592;1;0.3181;7;0.0;
CON_D_0021866;1;0.3198;7;0.0;
CON_D_0010578;1;0.3532;7;0.0;
CON_D_0006698;1;0.213;7;0.0;
CON_D_0008405;1;0.3229;6;0.0;
CON_D_0018791;1;0.3153;3;0.0;
CON_D_0016884;1;0.356;3;0.0;
CON_D_0019195;1;0.2237;2;0.0;
CON_D_0016327;1;0.344;16;0.0;
CON_D_0020324;1;0.3125;6;0.0;
CON_D_0012491;1;0.3791;5;0.0;
CON_D_0008158;1;0.4091;2;0.0;
CON_D_0004198;1;0.3252;6;0.0;
CON_D_0022139;1;0.3878;5;0.0;
CON_D_0004756;1;0.3117;8;0.0;
CON_D_0021319;1;0.3352;4;0.0;
CON_D_0020293;1;0.3171;4;0.0;
CON_D_0001731;1;0.4274;4;0.0;
CON_D_0002062;1;0.3648;6;0.0;
CON_D_0021476;1;0.3076;3;0.0;
CON_D_0000774;1;0.3492;8;0.0;
CON_D_0017267;1;0.2871;5;0.0;
CON_D_0001230;1;0.373;3;0.0;
CON_D_0018107;1;0.3887;5;0.0;
CON_D_0023000;1;0.3831;3;0.0;
CON_D_0011056;1;0.3502;5;0.0;
CON_D_0013215;1;0.2929;2;0.0;
CON_D_0015120;1;0.3698;5;0.0;
CON_D_0007535;1;0.4333;7;0.0;
CON_D_0011663;1;0.3783;3;0.0;
CON_D_0013443;1;0.3124;3;0.0;
CON_D_0009107;1;0.3628;3;0.0;
CON_D_0022400;1;0.2833;5;0.0;
CON_D_0008073;1;0.4561;5;0.0;
CON_D_0011733;1;0.2902;3;0.0;
CON_D_0010159;1;0.2381;7;0.0;
CON_D_0020455;1;0.3004;1;0.0;
CON_D_0001391;1;0.46;7;0.0;
CON_D_0003890;1;0.2313;3;0.0;
CON_D_0010389;1;0.2342;4;0.0;
CON_D_0012887;1;0.3887;11;0.0;
CON_D_0012329;1;0.3169;3;0.0;
CON_D_0022652;1;0.3349;3;0.0;
CON_D_0001576;1;0.4066;3;0.0;
CON_D_0004630;1;0.2437;4;0.0;
CON_D_0002318;1;0.2604;6;0.0;
CON_D_0018078;1;0.3273;1;0.0;
CON_D_0019797;1;0.3806;3;0.0;
CON_D_0005326;1;0.2988;1;0.0;
CON_D_0015657;1;0.3401;6;0.0;
CON_D_0013427;1;0.3647;7;0.0;
CON_D_0015839;1;0.3064;4;0.0;
CON_D_0021920;1;0.3867;5;0.0;
CON_D_0008493;1;0.2862;16;0.0;
CON_D_0020506;1;0.2632;2;0.0;
CON_D_0017355;1;0.2795;4;0.0;
CON_D_0019823;1;0.3501;6;0.0;
CON_D_0007348;1;0.3705;3;0.0;
CON_D_0021321;1;0.3728;6;0.0;
CON_D_0011523;1;0.4343;5;0.0;
CON_D_0001814;1;0.4107;8;0.0;
CON_D_0012237;1;0.5514;9;0.0;
CON_D_0000489;1;0.4596;5;0.0;
CON_D_0019009;1;0.3815;4;0.0;
CON_D_0002679;1;0.3189;2;0.0;
CON_D_0014625;1;0.3559;3;0.0;
CON_D_0015592;1;0.4824;6;0.0;
CON_D_0010903;1;0.3885;5;0.0;
CON_D_0018705;1;0.3852;10;0.0;
CON_D_0009502;1;0.4533;4;0.0;
CON_D_0003481;1;0.3268;3;0.0;
CON_D_0015861;1;0.3;5;0.0;
CON_D_0010033;1;0.4003;12;0.0;
CON_D_0006104;1;0.2934;7;0.0;
CON_D_0003610;1;0.3195;1;0.0;
CON_D_0000765;1;0.3746;4;0.0;
CON_D_0017059;1;0.4486;9;0.0;
CON_D_0003774;1;0.3656;7;0.0;
CON_D_0008564;1;0.437;10;0.0;
CON_D_0016810;1;0.3588;5;0.0;
CON_D_0014545;1;0.2288;2;0.0;
CON_D_0021054;1;0.2465;2;0.0;
CON_D_0005245;1;0.4165;4;0.0;
CON_D_0018756;1;0.2992;3;0.0;
CON_D_0009546;1;0.4028;7;0.0;
CON_D_0023524;1;0.3309;4;0.0;
CON_D_0012861;1;0.3169;8;0.0;
CON_D_0022506;1;0.2308;8;0.0;
CON_D_0021083;1;0.2818;2;0.0;
CON_D_0017164;1;0.2257;2;0.0;
CON_D_0003866;1;0.2188;2;0.0;
CON_D_0023095;1;0.3608;7;0.0;
CON_D_0004655;1;0.3384;4;0.0;
CON_D_0023519;1;0.4275;13;0.0;
CON_D_0004184;1;0.378;6;0.0;
CON_D_0003457;1;0.4261;9;0.0;
CON_D_0004670;1;0.2851;4;0.0;
CON_D_0002029;1;0.1877;4;0.0;
CON_D_0006780;1;0.3905;10;0.0;
CON_D_0018082;1;0.3863;8;0.0;
CON_D_0009221;1;0.3144;1;0.0;
CON_D_0000880;1;0.5051;5;0.0;
CON_D_0011097;1;0.4152;4;0.0;
CON_D_0000194;1;0.3967;4;0.0;
CON_D_0018735;1;0.2766;4;0.0;
CON_D_0014905;1;0.3706;7;0.0;
CON_D_0006871;1;0.3635;3;0.0;
CON_D_0015066;1;0.3802;13;0.0;
CON_D_0011403;1;0.2677;2;0.0;
CON_D_0022719;1;0.3394;4;0.0;
CON_D_0006815;1;0.3361;3;0.0;
CON_D_0011410;1;0.5096;5;0.0;
CON_D_0003400;1;0.2714;6;0.0;
CON_D_0002050;1;0.4941;21;0.0;
CON_D_0011366;1;0.3974;7;0.0;
CON_D_0011929;1;0.3459;12;0.0;
CON_D_0007793;1;0.3103;4;0.0;
CON_D_0005384;1;0.3013;7;0.0;
CON_D_0001812;1;0.2618;5;0.0;
CON_D_0010844;1;0.4568;6;0.0;
CON_D_0012951;1;0.3741;8;0.0;
CON_D_0020320;1;0.3715;3;0.0;
CON_D_0015827;1;0.3759;8;0.0;
CON_D_0016702;1;0.2903;1;0.0;
CON_D_0011026;1;0.4193;13;0.0;
CON_D_0012694;1;0.4298;4;0.0;
CON_D_0013533;1;0.1901;2;0.0;
