archivo_generado;manipulado_real;tipo_splicing;inicio_gt_s;fin_gt_s;tamper_score;detectado_archivo;num_intervalos_predichos;acierto_localizacion;intervalos_predichos
A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_hablante.wav;1;mismo_hablante;22.416;24.66;0.5228;1;3;1;0.000-15.500 (0.523) | 16.500-26.500 (0.451) | 28.000-29.000 (0.407)
A007_WhatsApp_Audio_2025-11-30_at_13.49.09_clean.wav;0;none;;;0.5333;1;4;;1.000-3.500 (0.406) | 5.000-6.000 (0.376) | 12.500-15.500 (0.392) | 17.500-20.500 (0.533)
A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_audio.wav;1;mismo_audio;1.944;3.81;0.7019;1;5;1;1.000-6.000 (0.702) | 9.000-10.000 (0.305) | 14.500-18.000 (0.444) | 19.000-21.000 (0.398) | 22.500-24.000 (0.361)
A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_hablante.wav;1;mismo_hablante;18.614;20.773;0.6827;1;4;1;1.000-3.500 (0.406) | 5.000-6.000 (0.376) | 12.500-15.500 (0.392) | 17.500-24.500 (0.683)
A008_WhatsApp_Audio_2026-02-04_at_14.12.19_clean.wav;0;none;;;0.4494;1;4;;0.000-1.000 (0.321) | 2.500-7.000 (0.396) | 10.000-15.500 (0.449) | 18.500-22.000 (0.423)
A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_audio.wav;1;mismo_audio;10.655;12.954;0.7084;1;4;1;0.000-1.000 (0.321) | 2.500-7.000 (0.396) | 9.500-17.500 (0.708) | 19.000-25.500 (0.389)
A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_hablante.wav;1;mismo_hablante;15.27;16.514;0.7568;1;3;1;0.000-1.000 (0.321) | 2.500-7.000 (0.396) | 10.000-24.500 (0.757)
A009_WhatsApp_Audio_2026-05-11_at_12.13.40_clean.wav;0;none;;;0.5476;1;13;;0.500-6.500 (0.548) | 8.500-11.000 (0.413) | 13.500-18.000 (0.480) | 23.000-31.500 (0.362) | 32.500-34.000 (0.393) | 39.000-40.000 (0.313) | 43.000-44.000 (0.352) | 46.500-47.500 (0.372) | 49.000-52.500 (0.333) | 53.500-57.000 (0.383) | 58.000-62.000 (0.362) | 63.500-64.500 (0.301) | 69.000-72.000 (0.351)
A009_WhatsApp_Audio_2026-05-11_at_12.13.40_splice_mismo_audio.wav;1;mismo_audio;6.022;8.075;0.5476;1;13;1;0.500-8.500 (0.548) | 10.500-13.000 (0.384) | 15.500-20.000 (0.495) | 24.500-27.500 (0.365) | 29.000-36.000 (0.413) | 37.500-42.000 (0.322) | 45.000-46.000 (0.319) | 48.500-49.500 (0.343) | 51.000-52.500 (0.338) | 53.500-54.500 (0.322) | 55.500-59.000 (0.321) | 60.000-65.500 (0.339) | 71.000-74.000 (0.328)
A009_WhatsApp_Audio_2026-05-11_at_12.13.40_splice_mismo_hablante.wav;1;mismo_hablante;33.512;35.314;0.5476;1;14;1;0.500-6.500 (0.548) | 8.500-11.000 (0.413) | 13.500-18.000 (0.480) | 23.000-31.500 (0.362) | 32.500-33.500 (0.367) | 35.000-36.000 (0.301) | 37.000-38.500 (0.328) | 40.500-41.500 (0.339) | 55.000-58.500 (0.434) | 61.000-62.000 (0.300) | 63.500-65.000 (0.336) | 66.000-67.000 (0.302) | 68.500-70.000 (0.339) | 72.500-74.000 (0.356)
A010_WhatsApp_Audio_2026-05-11_at_12.15.11_clean.wav;0;none;;;0.3603;1;3;;16.000-17.000 (0.350) | 31.000-33.000 (0.309) | 35.500-36.500 (0.360)
A010_WhatsApp_Audio_2026-05-11_at_12.15.11_splice_mismo_audio.wav;1;mismo_audio;25.37;26.775;0.675;1;4;1;16.000-17.000 (0.350) | 24.500-28.000 (0.675) | 33.500-34.500 (0.344) | 37.000-38.000 (0.344)
A010_WhatsApp_Audio_2026-05-11_at_12.15.11_splice_mismo_hablante.wav;1;mismo_hablante;28.481;30.508;0.7091;1;4;1;16.000-17.000 (0.350) | 27.500-33.000 (0.709) | 34.000-35.000 (0.306) | 37.500-38.500 (0.359)
A011_WhatsApp_Audio_2026-05-11_at_12.17.34_1_clean.wav;0;none;;;0.4791;1;10;;0.000-1.000 (0.306) | 2.000-4.500 (0.374) | 7.000-8.000 (0.301) | 10.500-15.000 (0.479) | 17.000-18.000 (0.315) | 19.500-21.500 (0.326) | 25.000-26.000 (0.384) | 34.500-36.500 (0.421) | 41.000-42.500 (0.401) | 45.000-46.000 (0.334)
A011_WhatsApp_Audio_2026-05-11_at_12.17.34_1_splice_mismo_audio.wav;1;mismo_audio;14.941;16.285;0.6857;1;9;1;0.000-1.000 (0.306) | 2.000-4.500 (0.374) | 7.000-8.000 (0.301) | 10.500-23.000 (0.686) | 26.000-29.500 (0.390) | 36.500-37.500 (0.312) | 40.500-41.500 (0.330) | 43.000-44.000 (0.375) | 46.500-47.500 (0.347)
A011_WhatsApp_Audio_2026-05-11_at_12.17.34_1_splice_mismo_hablante.wav;1;mismo_hablante;26.066;27.165;0.6996;1;10;1;0.000-1.000 (0.306) | 2.000-4.500 (0.374) | 7.000-8.000 (0.301) | 10.500-15.000 (0.479) | 17.000-18.000 (0.315) | 19.500-21.500 (0.326) | 25.000-28.000 (0.700) | 35.500-37.500 (0.479) | 42.000-43.500 (0.458) | 45.000-47.000 (0.349)
A012_WhatsApp_Audio_2026-05-11_at_12.17.34_2_clean.wav;0;none;;;0.4763;1;7;;2.500-4.500 (0.402) | 6.000-8.500 (0.437) | 11.000-13.000 (0.421) | 16.000-18.000 (0.381) | 22.500-24.000 (0.476) | 27.000-28.000 (0.328) | 30.000-32.000 (0.445)
A012_WhatsApp_Audio_2026-05-11_at_12.17.34_2_splice_mismo_audio.wav;1;mismo_audio;20.337;22.414;0.6671;1;9;1;2.500-4.500 (0.402) | 6.000-8.500 (0.437) | 11.000-13.000 (0.421) | 16.000-18.000 (0.381) | 19.500-23.500 (0.667) | 24.500-26.500 (0.395) | 29.000-31.000 (0.338) | 32.000-34.000 (0.505) | 35.500-36.500 (0.312)
A012_WhatsApp_Audio_2026-05-11_at_12.17.34_2_splice_mismo_hablante.wav;1;mismo_hablante;29.856;31.07;0.6771;1;7;1;2.500-4.500 (0.402) | 6.000-8.500 (0.437) | 11.000-13.000 (0.421) | 16.000-18.000 (0.381) | 22.500-24.000 (0.476) | 27.000-28.000 (0.328) | 29.000-33.000 (0.677)
A013_WhatsApp_Audio_2026-05-11_at_12.17.34_clean.wav;0;none;;;0.5512;1;6;;0.500-2.500 (0.397) | 7.000-8.000 (0.403) | 11.000-13.000 (0.372) | 18.000-22.000 (0.551) | 23.500-25.500 (0.372) | 26.500-29.500 (0.371)
A013_WhatsApp_Audio_2026-05-11_at_12.17.34_splice_mismo_audio.wav;1;mismo_audio;13.31;15.119;0.7459;1;6;1;0.500-2.500 (0.397) | 7.000-8.000 (0.403) | 11.000-16.000 (0.746) | 22.000-24.500 (0.475) | 25.500-27.500 (0.370) | 28.500-32.500 (0.381)
A013_WhatsApp_Audio_2026-05-11_at_12.17.34_splice_mismo_hablante.wav;1;mismo_hablante;4.975;6.518;0.7514;1;6;1;0.500-2.500 (0.397) | 4.000-7.500 (0.751) | 8.500-9.500 (0.317) | 12.500-16.000 (0.382) | 19.500-21.000 (0.362) | 22.000-30.500 (0.492)
A014_WhatsApp_Audio_2026-05-11_at_12.21.44_clean.wav;0;none;;;0.5361;1;10;;1.500-2.500 (0.419) | 4.500-6.500 (0.409) | 7.500-13.000 (0.386) | 17.500-18.500 (0.376) | 20.000-22.000 (0.476) | 23.000-24.000 (0.312) | 30.000-33.500 (0.409) | 36.500-37.500 (0.423) | 41.000-47.000 (0.536) | 48.500-49.500 (0.326)
A014_WhatsApp_Audio_2026-05-11_at_12.21.44_splice_mismo_audio.wav;1;mismo_audio;42.017;43.758;0.731;1;10;1;1.500-2.500 (0.419) | 4.500-6.500 (0.409) | 7.500-13.000 (0.386) | 17.500-18.500 (0.376) | 20.000-22.000 (0.476) | 23.000-24.000 (0.312) | 30.000-33.500 (0.409) | 36.500-37.500 (0.423) | 41.000-49.000 (0.731) | 50.000-51.000 (0.327)
A014_WhatsApp_Audio_2026-05-11_at_12.21.44_splice_mismo_hablante.wav;1;mismo_hablante;21.109;23.05;0.7418;1;9;1;1.500-2.500 (0.419) | 4.500-6.500 (0.409) | 7.500-13.000 (0.386) | 17.500-18.500 (0.376) | 20.000-26.000 (0.742) | 32.000-35.500 (0.421) | 37.500-39.500 (0.403) | 43.000-48.500 (0.439) | 50.500-51.500 (0.322)
A015_WhatsApp_Audio_2026-05-11_at_12.25.03_clean.wav;0;none;;;0.4458;1;9;;0.000-1.000 (0.307) | 2.000-3.000 (0.341) | 4.500-5.500 (0.317) | 13.000-14.000 (0.326) | 22.000-24.500 (0.446) | 31.000-36.000 (0.407) | 37.000-39.000 (0.387) | 56.500-58.500 (0.389) | 60.000-61.000 (0.360)
A015_WhatsApp_Audio_2026-05-11_at_12.25.03_splice_mismo_audio.wav;1;mismo_audio;59.864;60.959;0.6718;1;8;1;0.000-1.000 (0.307) | 2.000-3.000 (0.341) | 4.500-5.500 (0.317) | 13.000-14.000 (0.326) | 22.000-24.500 (0.446) | 31.000-36.000 (0.407) | 37.000-39.000 (0.387) | 56.500-62.000 (0.672)
A015_WhatsApp_Audio_2026-05-11_at_12.25.03_splice_mismo_hablante.wav;1;mismo_hablante;1.678;4.135;0.69;1;9;1;0.000-5.500 (0.690) | 7.000-8.000 (0.309) | 15.500-16.500 (0.334) | 21.000-22.500 (0.344) | 24.500-28.000 (0.471) | 35.000-38.500 (0.464) | 40.500-41.500 (0.393) | 59.000-60.000 (0.382) | 62.500-63.500 (0.359)
A016_WhatsApp_Audio_2026-05-11_at_12.30.33_clean.wav;0;none;;;0.4379;1;4;;0.000-3.500 (0.417) | 6.500-13.500 (0.413) | 14.500-17.500 (0.393) | 20.500-24.000 (0.438)
A016_WhatsApp_Audio_2026-05-11_at_12.30.33_splice_mismo_audio.wav;1;mismo_audio;13.003;15.084;0.4293;1;4;1;0.000-3.500 (0.417) | 6.500-15.000 (0.413) | 17.000-18.500 (0.414) | 22.500-26.000 (0.429)
A016_WhatsApp_Audio_2026-05-11_at_12.30.33_splice_mismo_hablante.wav;1;mismo_hablante;7.561;9.714;0.4323;1;4;1;0.000-3.500 (0.417) | 6.500-13.500 (0.432) | 15.000-20.000 (0.352) | 22.500-26.500 (0.429)
A017_WhatsApp_Audio_2026-05-11_at_12.32.17_clean.wav;0;none;;;0.4551;1;5;;0.000-3.000 (0.435) | 8.000-9.500 (0.373) | 11.000-12.500 (0.455) | 15.000-20.000 (0.421) | 21.500-23.000 (0.375)
A017_WhatsApp_Audio_2026-05-11_at_12.32.17_splice_mismo_audio.wav;1;mismo_audio;16.448;17.685;0.7495;1;5;1;0.000-3.000 (0.435) | 8.000-9.500 (0.373) | 11.000-12.500 (0.455) | 15.000-21.500 (0.750) | 22.500-24.500 (0.372)
A017_WhatsApp_Audio_2026-05-11_at_12.32.17_splice_mismo_hablante.wav;1;mismo_hablante;11.861;14.319;0.7091;1;5;1;0.000-3.000 (0.435) | 8.000-9.500 (0.373) | 11.000-15.500 (0.709) | 18.000-23.000 (0.438) | 24.000-25.500 (0.349)
A018_WhatsApp_Audio_2026-05-11_at_12.45.58_clean.wav;0;none;;;0.4914;1;7;;0.000-4.000 (0.392) | 6.500-8.000 (0.303) | 9.500-11.000 (0.420) | 15.000-21.500 (0.425) | 29.500-31.000 (0.350) | 35.500-40.000 (0.353) | 41.000-42.500 (0.491)
A018_WhatsApp_Audio_2026-05-11_at_12.45.58_splice_mismo_audio.wav;1;mismo_audio;35.301;36.461;0.4247;1;7;0;0.000-4.000 (0.392) | 6.500-8.000 (0.303) | 9.500-11.000 (0.420) | 15.000-21.500 (0.425) | 29.500-31.000 (0.350) | 36.500-41.000 (0.385) | 42.500-43.500 (0.381)
A018_WhatsApp_Audio_2026-05-11_at_12.45.58_splice_mismo_hablante.wav;1;mismo_hablante;22.982;24.211;0.4247;1;9;0;0.000-4.000 (0.392) | 6.500-8.000 (0.303) | 9.500-11.000 (0.420) | 15.000-21.500 (0.425) | 24.500-25.500 (0.313) | 26.500-27.500 (0.318) | 31.500-35.500 (0.355) | 36.500-41.500 (0.356) | 42.500-43.500 (0.401)
A019_WhatsApp_Audio_2026-05-11_at_12.48.50_clean.wav;0;none;;;0.4106;1;6;;0.000-1.000 (0.375) | 7.000-8.000 (0.313) | 10.500-13.000 (0.380) | 15.000-16.000 (0.374) | 17.000-24.000 (0.411) | 30.000-31.000 (0.307)
A019_WhatsApp_Audio_2026-05-11_at_12.48.50_splice_mismo_audio.wav;1;mismo_audio;1.02;3.188;0.7264;1;5;1;0.000-4.000 (0.726) | 7.500-8.500 (0.349) | 16.000-24.500 (0.386) | 26.000-27.500 (0.367) | 34.000-35.000 (0.307)
A019_WhatsApp_Audio_2026-05-11_at_12.48.50_splice_mismo_hablante.wav;1;mismo_hablante;13.775;15.507;0.7291;1;5;1;0.000-1.000 (0.375) | 7.000-8.000 (0.313) | 10.500-18.500 (0.729) | 20.000-27.000 (0.360) | 33.500-34.500 (0.311)
A020_WhatsApp_Audio_2026-05-11_at_12.51.30_clean.wav;0;none;;;0.485;1;11;;0.000-8.500 (0.412) | 13.000-15.000 (0.374) | 17.000-18.500 (0.413) | 20.000-22.000 (0.311) | 23.500-26.500 (0.426) | 27.500-28.500 (0.304) | 31.500-33.000 (0.338) | 35.500-36.500 (0.353) | 41.500-44.000 (0.485) | 45.500-47.000 (0.347) | 51.500-55.000 (0.409)
A020_WhatsApp_Audio_2026-05-11_at_12.51.30_splice_mismo_audio.wav;1;mismo_audio;13.785;16.263;0.746;1;11;1;0.000-8.500 (0.412) | 13.000-17.500 (0.746) | 19.500-21.000 (0.408) | 22.500-23.500 (0.310) | 26.500-29.000 (0.418) | 30.000-31.000 (0.334) | 34.000-37.000 (0.363) | 38.000-39.000 (0.355) | 44.500-46.500 (0.493) | 48.000-49.500 (0.353) | 56.500-57.500 (0.417)
A020_WhatsApp_Audio_2026-05-11_at_12.51.30_splice_mismo_hablante.wav;1;mismo_hablante;5.573;7.89;0.6903;1;13;1;0.000-10.500 (0.690) | 12.500-13.500 (0.315) | 15.500-16.500 (0.309) | 19.500-20.500 (0.368) | 22.000-24.000 (0.384) | 26.000-28.500 (0.412) | 30.000-31.500 (0.317) | 34.000-35.000 (0.347) | 36.000-39.000 (0.424) | 40.000-42.000 (0.314) | 44.000-46.500 (0.566) | 48.000-50.500 (0.342) | 55.000-57.500 (0.359)
A021_WhatsApp_Audio_2026-05-11_at_13.25.03_clean.wav;0;none;;;0.4778;1;7;;0.000-9.000 (0.372) | 10.000-14.500 (0.458) | 15.500-21.000 (0.478) | 22.500-23.500 (0.344) | 25.000-27.000 (0.367) | 29.500-30.500 (0.304) | 33.500-34.500 (0.313)
A021_WhatsApp_Audio_2026-05-11_at_13.25.03_splice_mismo_audio.wav;1;mismo_audio;25.943;27.672;0.7243;1;7;1;0.000-9.000 (0.372) | 10.000-14.500 (0.458) | 15.500-21.000 (0.478) | 22.500-23.500 (0.344) | 25.000-29.500 (0.724) | 31.500-32.500 (0.343) | 35.500-36.500 (0.355)
A021_WhatsApp_Audio_2026-05-11_at_13.25.03_splice_mismo_hablante.wav;1;mismo_hablante;19.03;20.223;0.7324;1;7;1;0.000-9.000 (0.372) | 10.000-14.500 (0.458) | 15.500-24.500 (0.732) | 26.000-27.000 (0.370) | 28.000-29.000 (0.349) | 31.000-32.000 (0.359) | 34.500-35.500 (0.344)
